codigo,nombre,tipo,macrodistrito,latitud,longitud,codigo_padre,osm_id,revision,notas
rodriguez,Mercado Rodríguez,mercado,Cotahuma,-16.500192,-68.138992,,w733480376,ok,
rodriguez_cubierto,Mercado Rodríguez - sector cubierto,mercado,Cotahuma,-16.500676,-68.139072,rodriguez,w733480381,confirmar_en_campo,"polígono interior sin nombre en OSM; se asume sector cubierto del Mercado Rodríguez. Es mercado y no tienda porque un sector agrupa muchos puestos y debe publicar rango, no precio único"
lanza,Mercado Lanza,mercado,Centro,-16.494701,-68.137462,,w194362248,ok,
camacho,Mercado Camacho,mercado,Centro,-16.500624,-68.131153,,w187671475,ok,
yungas,Mercado Yungas,mercado,Centro,-16.497049,-68.129270,,w264710813,ok,
haiti,Mercado Haití,mercado,Centro,-16.490882,-68.122594,,w437094229,ok,
miraflores,Mercado Miraflores,mercado,Centro,-16.501255,-68.121763,,w366594547,ok,
la_bolita,Mercado La Bolita,mercado,Centro,-16.503306,-68.128234,,w539277526,ok,
garcilaso,Mercado Garcilaso de la Vega,mercado,Centro,-16.494231,-68.143206,,w739478591,ok,
belen,Mercado Belén,mercado,Cotahuma,-16.500781,-68.139492,,w444755647,ok,
uruguay,Mercado Uruguay,mercado,Max Paredes,-16.497319,-68.143753,,w178471709,ok,
frutas,Mercado de Frutas,mercado,Max Paredes,-16.498268,-68.141599,,w706477944,confirmar_en_campo,a 350 m del Mercado Rodríguez; falta confirmar en campo si es independiente o un sector. No se le pone codigo_padre sin verificar porque cambia cómo se agregan los precios
el_tejar,Mercado El Tejar,mercado,Max Paredes,-16.495304,-68.152048,,w440996918,ok,
las_nieves,Mercado Las Nieves El Tejar,mercado,Max Paredes,-16.497113,-68.157397,,w655405977,ok,
calatayud,Mercado Calatayud,mercado,Max Paredes,-16.495357,-68.147632,,w441105317,ok,
pescado,Mercado de Pescado,mercado,Max Paredes,-16.494872,-68.153228,,w385784863,ok,
alto_mariscal,Mercado Alto Mariscal Santa Cruz,mercado,Max Paredes,-16.493025,-68.160383,,w441015612,ok,
bajo_mariscal,Mercado Bajo Mariscal Santa Cruz,mercado,Max Paredes,-16.492388,-68.158442,,n5063426607,ok,
san_jose,Mercado San José,mercado,Max Paredes,-16.489227,-68.158613,,w464989259,ok,
